Part ID,Part Name,Category,Supplier ID,Stock Quantity,Minimum Stock Level,Unit Price (USD),Warranty Period (Months),Part Manufacturer,Model Compatibility
SP043,Bearing,Mechanical,S043,500,50,7.0,12,SKF,"Model 1, Model 2"
SP044,PLC Module,Electronic,S044,75,15,220.0,36,Rockwell Automation,Model 3
SP045,Relay,Electrical,S045,200,25,12.5,24,Schneider Electric,"Model 1, Model 3"
SP046,Motor Driver,Electronic,S046,50,10,50.0,18,Texas Instruments,Model 2
SP047,Pressure Gauge,Mechanical,S047,150,30,20.0,12,WIKA,"Model 1, Model 2"
SP048,Battery Charger,Electrical,S048,200,25,45.0,24,Bosch,Model 3
SP049,Inductive Heater,Electronic,S049,120,20,110.0,18,Inductotherm,Model 1
SP050,Hydraulic Pump Motor,Mechanical,S050,80,15,350.0,12,Parker Hannifin,"Model 2, Model 3"
SP051,Welding Machine,Electrical,S051,40,5,1500.0,24,Lincoln Electric,Model 1
SP052,Electric Actuator,Mechanical,S052,60,10,400.0,18,Emerson,"Model 1, Model 2"
SP053,Hydraulic Valve,Hydraulic,S053,100,20,120.0,12,Eaton,Model 3
SP054,Rectifier,Electrical,S054,250,30,22.0,24,ABB,"Model 2, Model 3"
SP055,Condenser,Mechanical,S055,300,40,35.0,18,Carrier,"Model 1, Model 2"
SP056,Diode,Electrical,S056,500,50,1.5,12,NXP,Model 3
SP057,AC/DC Converter,Electronic,S057,80,10,75.0,24,Mean Well,"Model 1, Model 2"
SP058,Heat Sink,Mechanical,S058,200,30,15.0,18,Thermal Solutions,Model 3
SP059,Photovoltaic Cell,Electronic,S059,30,5,200.0,36,First Solar,Model 2
SP060,Ball Valve,Hydraulic,S060,150,25,30.0,12,Emerson,"Model 1, Model 2"
SP061,Transformer,Electrical,S061,100,15,250.0,24,Siemens,Model 3
SP062,Inverter,Electronic,S062,120,20,180.0,18,Schneider Electric,"Model 1, Model 2"
SP063,Vacuum Pump,Mechanical,S063,50,10,600.0,12,Leybold,Model 3
SP064,Pneumatic Cylinder,Mechanical,S064,180,25,75.0,24,Parker Hannifin,"Model 1, Model 2"
SP065,AC Motor,Mechanical,S065,70,15,200.0,18,Siemens,"Model 1, Model 3"
SP066,Current Transformer,Electrical,S066,90,20,60.0,12,GE,"Model 2, Model 3"
SP067,Thermal Switch,Electrical,S067,250,30,3.0,18,Schneider Electric,Model 1
SP068,Gear Motor,Mechanical,S068,150,25,500.0,24,Bosch,"Model 1, Model 3"
SP069,Voltage Regulator,Electrical,S069,80,10,15.0,12,Texas Instruments,Model 2
SP070,Stepper Motor Driver,Electronic,S070,120,15,95.0,24,Trinamic,"Model 1, Model 3"
SP071,Microcontroller,Electronic,S071,400,50,7.5,18,Microchip,"Model 1, Model 2"
SP072,Solenoid Coil,Hydraulic,S072,60,10,45.0,12,Festo,Model 3
SP073,Electronic Switch,Electronic,S073,250,30,30.0,24,Omron,"Model 1, Model 2"
SP074,Hydraulic Motor,Mechanical,S074,100,20,700.0,12,Parker,Model 1
SP075,Thermoelectric Cooler,Electronic,S075,50,10,150.0,18,TEC,Model 3
SP076,Pressure Transducer,Mechanical,S076,120,25,60.0,12,Honeywell,Model 2
SP077,Current Sensor,Electronic,S077,80,15,55.0,24,LEM,"Model 1, Model 2"
SP078,Inductor,Electronic,S078,200,25,10.0,18,Murata,Model 3
SP079,Hydraulic Filter,Mechanical,S079,300,35,40.0,12,Mann+Hummel,"Model 1, Model 2"
SP080,Battery Pack,Electrical,S080,150,30,120.0,24,Panasonic,Model 2
SP081,Control Panel,Electronic,S081,70,15,500.0,18,Schneider Electric,"Model 1, Model 3"
SP082,Heat Pump,Mechanical,S082,120,20,1000.0,12,Carrier,"Model 1, Model 2"
SP083,Inductive Heating Coil,Electronic,S083,90,10,75.0,18,Inductotherm,Model 3
SP084,Thermal Camera,Electronic,S084,80,5,2500.0,36,FLIR,Model 2
SP085,Thermal Insulation,Mechanical,S085,300,50,5.0,12,Johns Manville,"Model 1, Model 2"
SP086,Rectifier Bridge,Electrical,S086,150,30,25.0,24,Vishay,Model 3
